user_id,referral_id,country
4403267,4365052,IND
4396222,4363648,NGA
4403477,4376585,THA
4403383,4376585,THA
4386820,4350985,NGA
4403365,4376585,THA
4403254,4376585,THA
4403289,4376585,THA
4403280,4374214,IDN
4402386,1070090,LKA
4403268,4363096,MAR
4403256,4336621,LKA
4402817,4376585,USA
4403181,4376585,THA
4403224,4376585,THA
4401974,2452276,IND
4403167,4376585,THA
4403078,4376585,THA
4403126,4376585,THA
4401624,1070090,LKA
4403085,4388371,KOR
4403102,4376585,THA
4403088,2444512,IND
4399622,4388371,LKA
4388480,4270578,USA
4402974,4336621,LKA
4402436,4362532,PHL
4402883,3478683,NPL
4402808,4376585,NLD
4402539,4376585,BLR
4402214,4211199,USA
4402725,4402704,AUS
4402242,4376585,USA
4402602,4376585,USA
4402585,4376585,USA
4402593,4376585,ESP
4402564,4376585,USA
4402575,4376585,USA
4402554,4376585,USA
4402541,885774,USA
4398550,3134467,ARG
4402461,4376585,USA
4402465,4376585,RUS
4402443,4350166,BGD
4402437,4376585,USA
4402425,4376585,JPN
4402416,4376585,UKR
4402358,4376585,USA
4402316,4376585,USA
4402303,4376585,USA
4400825,4376585,USA
4402276,4376585,USA
4402289,4376585,MEX
4402264,4324986,UKR
4402268,4376585,GBR
4402258,4376585,USA
4402228,2238206,USA
4402179,4376585,HUN
4402187,4376585,USA
4402171,4376585,USA
4402144,4376585,AUS
4402158,4376585,ESP
4402027,4360608,IND
4402069,4401876,LKA
4402137,4376585,BWA
4401967,4376585,USA
4401994,4315563,UKR
4401898,4310146,UKR
4401760,4315563,UKR
4401946,4269578,IND
4401929,4376585,NZL
4401940,4376585,LTU
4401908,1070090,LKA
4401916,4376585,DEU
4401887,4376585,USA
4401844,4376585,IRL
4401837,4315498,UKR
4401845,4336621,LKA
4401185,4376585,THA
4401827,4376585,USA
4401748,4376585,USA
4401762,4401644,LKA
4401781,4324609,UKR
4401771,1070090,LKA
4401671,4232221,UKR
4401702,4401494,ARG
4401662,4401644,LKA
4401642,4353060,BGD
4401673,4376585,USA
4397194,2136400,BGD
4401552,4371102,BGD
4401510,1070090,LKA
4401528,1099103,IND
4401515,4249422,IND
4401395,4324351,UKR
4401434,2654899,BGD
4401453,2440555,IND
4401398,4321130,UKR
4401390,2440399,IND
4401356,4321640,UKR
4401315,4308564,UKR
4401193,4233012,UKR
4401291,4350646,BGD
4401151,4232706,UKR
4401233,4310077,UKR
4395076,2442532,IND
4399556,4307250,UKR
4401170,4308096,UKR
4401101,4248900,BGD
4401049,2443850,IND
4400857,4388371,LKA
4401012,4368386,PAK
4401009,4336621,LKA
4400964,2443850,IND
4400943,4399823,IND
4400890,2957011,USA
4400803,4361604,BGD
4400824,2443219,IND
4400525,4355733,IND
4400740,4399351,BGD
4399351,4399276,BGD
4396033,4395711,IND
4387364,2436537,IND
4400597,4348211,ZWE
4400606,4388371,LKA
4390086,3251182,IDN
4400381,4363096,SDN
4400304,2456781,IND
4400269,2738296,UKR
4400209,4399928,IND
4400028,4307917,UKR
4400023,4308048,UKR
4399928,4248557,IND
4399844,4232210,UKR
4399816,4232221,UKR
4399468,4362331,PAK
4399797,4356830,BRA
4399801,1077684,THA
4399667,4232725,UKR
4399753,4231721,UKR
4394896,679540,USA
4399727,4231457,UKR
4399657,4111059,VEN
4399688,4231736,UKR
4399699,679540,UKR
4399656,4307407,UKR
4399571,3020550,TUR
4399579,4307694,UKR
4391836,1609981,BGD
4399589,1075794,TUR
4399590,4307250,UKR
4399558,4307889,UKR
4399559,4355253,BGD
4399344,3056791,TUR
4396287,4367550,SDN
4399464,4358262,IND
4399513,4248390,IND
4399505,4317579,UKR
4399507,4307651,UKR
4399472,4230950,UKR
4399478,4307631,UKR
4399458,4349294,BGD
4399466,4321191,TUR
4399459,4393805,LKA
4399440,4319271,UKR
4399420,4362532,PHL
4388423,3478683,NPL
4399373,4317357,UKR
4399401,4388280,IND
4399376,3092415,BGD
4399303,921813,USA
4399333,1062016,PAK
4399324,4231735,UKR
4399290,4399051,TUR
4399276,1609981,BGD
4399198,4317803,UKR
4399111,4319766,UKR
4385661,2463666,BGD
4399223,4399051,TUR
4399186,4242688,IND
4389955,4349294,BGD
4399187,4315483,UKR
4399133,4248390,IND
4390235,4357803,LKA
4399140,4393708,TUR
4397580,4349393,BGD
4399129,4317438,UKR
4394841,4374176,LKA
4399117,4353869,TUR
4399050,4115062,UKR
4399051,4301970,DEU
4399038,4307116,UKR
4399000,1820395,USA
4398948,4307445,UKR
4399046,4316140,UKR
4398991,4307437,UKR
4398981,4307678,UKR
4398985,4114880,UKR
4398926,4111605,UKR
4398940,4307392,UKR
4398930,4307528,UKR
4398922,4112885,UKR
4398908,4307457,UKR
4398875,4307124,UKR
4398236,4365947,PAK
4398869,4248900,IND
4398786,4230771,UKR
4398755,4111519,UKR
4398750,4237440,UKR
4398743,4236794,UKR
4398711,4307188,UKR
4398713,4376585,USA
4398698,4376585,NLD
4398699,4376585,FRA
4398686,4376585,USA
4398687,4376585,DEU
4398661,4376585,PRT
4398656,4376585,USA
4398649,4376585,USA
4398641,2670490,USA
4389847,4349393,BGD
4398623,4376585,USA
4398565,4376585,THA
4398601,4376585,THA
4398558,2452199,BGD
4398556,1062016,IND
4398499,4357966,BGD
4398520,4376585,THA
4396896,4395886,NGA
4398493,4391737,LKA
4398488,2440555,IND
4398458,4376585,THA
4398451,4376585,USA
4398439,4376585,THA
4398426,4376585,POL
4398403,4376585,USA
4398392,635851,TUR
4398350,4376585,THA
4397821,4376585,USA
4398311,4376585,BRA
4398355,4376585,GBR
4398354,4376585,USA
4398344,4376585,USA
4398346,4269578,IND
4398340,4376585,USA
4398337,4376585,USA
4397837,4357687,IND
4398330,4376585,GBR
4397297,4233106,UKR
4398317,4376585,UKR
4398316,4376585,USA
4396886,4362532,PHL
4398294,4376585,USA
4398288,4376585,GBR
4398276,4376585,USA
4398260,4376585,CAN
4398264,4376585,GBR
4398247,4376585,USA
4398116,4376585,BRA
4398239,2443850,BRA
4398245,4376585,CAN
4389092,4371792,IDN
4398225,4376585,NLD
4398231,4376585,USA
4398224,4376585,USA
4398208,4376585,USA
4398189,4376585,NLD
4398190,4376585,USA
4398173,4376585,CAN
4398175,4376585,USA
4398145,4376585,USA
4398134,4376585,CAN
4398082,4376585,USA
4398086,4376585,AGO
4398084,4376585,NLD
4398068,4376585,USA
4397849,2440555,IND
4398054,4376585,USA
4398060,4376585,USA
4398037,4376585,USA
4398050,4376585,USA
4398029,4376585,USA
4398022,1310598,POL
4398025,4376585,USA
4397947,4376585,USA
4398005,4376585,OMN
4398003,4376585,GBR
4398004,4376585,USA
4397989,4376585,USA
4397980,4376585,USA
4397970,4376585,USA
4397950,4376585,USA
4397956,4376585,USA
4397940,4376585,USA
4397934,4361345,IND
4397930,4376585,ESP
4397926,4376585,MYS
4397933,4376585,UKR
4397918,4376585,USA
4397914,4376585,USA
4397916,4376585,USA
4397866,4376585,GBR
4397895,4376585,SGP
4397859,4376585,USA
4397884,4376585,MYS
4397835,4376585,USA
4397852,4376585,USA
4397841,4376585,USA
4397774,4376585,USA
4397786,4376585,USA
4397749,4376585,USA
4397742,4376585,USA
4392326,4353168,ARG
4394566,4375150,ITA
4397572,4389010,RUS
4397487,4349294,BGD
4397478,4306600,UKR
4397217,4127464,UKR
